VARIANT                                                    EXACT     SQUEEZE   WS
ark_analytic_partitioned_forcing.out                       DIFF      same      same
ark_analytic_partitioned_splitting.out                     DIFF      same      same
ark_analytic_partitioned_splitting_ARKODE_SPLITTING_BEST_2_2_2.out DIFF      same      same
ark_analytic_partitioned_splitting_ARKODE_SPLITTING_RUTH_3_3_2.out DIFF      same      same
ark_analytic_partitioned_splitting_ARKODE_SPLITTING_YOSHIDA_8_6_2.out DIFF      same      same
ark_conserved_exp_entropy_ark_1_1.out                      DIFF      DIFF      DIFF
ark_damped_harmonic_symplectic.out                         DIFF      same      same
ark_dissipated_exp_entropy_1_1.out                         DIFF      DIFF      DIFF
ark_harmonic_symplectic.out                                DIFF      same      same
ark_kepler.out                                             DIFF      same      same
ark_kepler_--stepper_ERK_--step-mode_fixed_--count-orbits.out DIFF      same      same
ark_kepler_--stepper_SPRK_--step-mode_fixed_--count-orbits_--use-compensated-sums.out DIFF      same      same
ark_kepler_--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_EULER_1_1_--tf_50_--check-order_--nout_1.out DIFF      same      same
ark_kepler_--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_RUTH_3_3_--tf_50_--check-order_--nout_1.out DIFF      same      same
ark_reaction_diffusion_mri.out                             DIFF      same      same
cvPendulum_dns.out                                         DIFF      DIFF      DIFF
cvRoberts_dnsL.out                                         DIFF      DIFF      DIFF
cvRoberts_dns_negsol.out                                   DIFF      same      same
cvsKrylovDemo_ls.out                                       DIFF      DIFF      DIFF
cvsKrylovDemo_ls_0_1.out                                   DIFF      DIFF      DIFF
cvsKrylovDemo_ls_1.out                                     DIFF      DIFF      DIFF
cvsKrylovDemo_ls_2.out                                     DIFF      DIFF      DIFF
cvsPendulum_dns.out                                        DIFF      DIFF      DIFF
cvsRoberts_dnsL.out                                        DIFF      DIFF      DIFF
idasAkzoNob_ASAi_dns.out                                   DIFF      DIFF      DIFF
kinLaplace_picard_kry.out                                  DIFF      DIFF      same
kinRoboKin_dns.out                                         DIFF      same      same
